,Player,Pos,Age,Tm,G,FG%,2P FG%,3P FG%
435,Ricky Rubio,PG,29,PHO,65,0.415,0.439,0.361
436,D'Angelo Russell,PG,23,TOT,45,0.426,0.48700000000000004,0.36700000000000005
437,D'Angelo Russell,PG,23,GSW,33,0.43,0.48700000000000004,0.374
438,D'Angelo Russell,PG,23,MIN,12,0.41200000000000003,0.485,0.345
439,Domantas Sabonis,PF,23,IND,62,0.54,0.565,0.254
440,JaKarr Sampson,SF,26,IND,34,0.591,0.647,0.154
441,Dario Šarić,PF,25,PHO,66,0.47600000000000003,0.568,0.35700000000000004
442,Tomáš Satoranský,PG,28,CHI,65,0.43,0.491,0.322
443,Admiral Schofield,SF,22,WAS,33,0.38,0.516,0.311
444,Dennis Schröder,PG,26,OKC,65,0.469,0.513,0.385
445,Mike Scott,PF,31,PHI,68,0.426,0.519,0.369
446,Thabo Sefolosha,PF,35,HOU,41,0.40700000000000003,0.595,0.278
447,Collin Sexton,SG,21,CLE,65,0.47200000000000003,0.501,0.38
448,Landry Shamet,SG,22,LAC,53,0.40399999999999997,0.495,0.375
449,Iman Shumpert,SG,29,BRK,13,0.32799999999999996,0.419,0.242
450,Pascal Siakam,PF,25,TOR,60,0.45299999999999996,0.499,0.359
451,Chris Silva,PF,23,MIA,44,0.615,0.64,0.0
452,Ben Simmons,PG,23,PHI,57,0.58,0.583,0.28600000000000003
